Year,Rank,Player
2023,1,Stephen Curry
2023,2,Jayson Tatum
2023,3,LeBron James
2023,4,Victor Wembanyama
2023,5,Giannis Antetokoumpo
2023,6,Luka Doncic
2023,7,Devin Booker
2023,8,Kevin Durant
2023,9,Tyrese Maxey
2023,10,Damian Lillard
2022,1,LeBron James
2022,2,Stephen Curry
2022,3,Jayson Tatum
2022,4,Giannis Antetokoumpo
2022,5,Luka Doncic
2022,6,Kevin Durant
2022,7,Devin Booker
2022,8,Ja Morant
2022,9,Damian Lillard
2022,10,Kyrie Irving
2021,1,LeBron James
2021,2,James Harden
2021,3,Stephen Curry
2021,4,Kevin Durant
2021,5,Jayson Tatum
2021,6,Joel Embiid
2021,7,Giannis Antetokoumpo
2021,8,Luka Doncic
2021,9,Ja Morant
2021,10,Kyrie Irving
2020,1,LeBron James
2020,2,Giannis Antetokoumpo
2020,3,Kevin Durant
2020,4,Luka Doncic
2020,5,Jayson Tatum
2020,6,Devin Booker
2020,7,Stephen Curry
2020,8,Kyrie Irving
2020,9,James Harden
2020,10,Damian Lillard
2019,1,LeBron James
2019,2,Luka Doncic
2019,3,Anthony Davis
2019,4,Jayson Tatum
2019,5,Giannis Antetokoumpo
2019,6,Stephen Curry
2019,7,Kevin Durant
2019,8,Damian Lillard
2019,9,Kawhi Leonard
2019,10,Jimmy Butler
2018,1,LeBron James
2018,2,Stephen Curry
2018,3,Giannis Antetokounmpo
2018,4,Kyrie Irving
2018,5,Joel Embiid
2018,6,James Harden
2018,7,Russell Westbrook
2018,8,Kevin Durant
2018,9,Ben Simmons
2018,10,Jimmy Butler
2017,1,Stephen Curry
2017,2,LeBron James
2017,3,Kevin Durant
2017,4,Giannis Antetokounmpo
2017,5,Kyrie Irving
2017,6,Russell Westbrook
2017,7,Kristaps Porzingis
2017,8,Joel Embiid
2017,9,James Harden
2017,10,Ben Simmons
2016,1,Stephen Curry
2016,2,LeBron James
2016,3,Kevin Durant
2016,4,Russell Westbrook
2016,5,Kyrie Irving
2016,6,Kawhi Leonard
2016,7,Kristaps Porzingis
2016,8,Jimmy Butler
2016,9,Giannis Antetokounmpo
2016,10,James Harden
2015,1,Stephen Curry
2015,2,LeBron James
2015,3,Kobe Bryant
2015,4,Kyrie Irving
2015,5,Klay Thompson
2015,6,Russell Westbrook
2015,7,Draymond Green
2015,8,Kevin Durant
2015,9,Kawhi Leonard
2015,10,Derrick Rose
2014,1,LeBron James
2014,2,Stephen Curry
2014,3,Kobe Bryant
2014,4,Kevin Durant
2014,5,Derrick Rose
2014,6,Kyrie Irving
2014,7,Tim Duncan
2014,8,Carmelo Anthony
2014,9,Dwayne Wade
2014,10,Blake Griffin
2013,1,LeBron James
2013,2,Kevin Durant
2013,3,Kobe Bryant
2013,4,Derrick Rose
2013,5,Stephen Curry
2013,6,Carmelo Anthony
2013,7,Dwayne Wade
2013,8,Chris Paul
2013,9,Kyrie Irving
2013,10,James Harden
2012,1,Carmelo Anthony
2012,2,LeBron James
2012,3,Kevin Durant
2012,4,Kobe Bryant
2012,5,Derrick Rose
2012,6,Deron Williams
2012,7,Dwayne Wade
2012,8,Rajon Rondo
2012,9,Chris Paul
2012,10,Blake Griffin
2011,1,Derrick Rose
2011,2,Jeremy Lin
2011,3,Kobe Bryant
2011,4,LeBron James
2011,5,Carmelo Anthony
2011,6,Dwayne Wade
2011,7,Dirk Nowitzki
2011,8,Kevin Durant
2011,9,Blake Griffin
2011,10,Rajon Rondo
2010,1,LeBron James
2010,2,Kobe Bryant
2010,3,Rajon Rondo
2010,4,Amare Stoudemire
2010,5,Derrick Rose
2010,6,Dwayne Wade
2010,7,Kevin Durant
2010,8,Carmelo Anthony
2010,9,Dwight Howard
2010,10,John Wall
2009,1,Kobe Bryant
2009,2,LeBron James
2009,3,Kevin Garnett
2009,4,Derrick Rose
2009,5,Dwight Howard
2009,6,Dwayne Wade
2009,7,Chris Paul
2009,8,Paul Pierce
2009,9,Kevin Durant
2009,10,Carmelo Anthony
2008,1,Kobe Bryant
2008,2,LeBron James
2008,3,Chris Paul
2008,4,Kevin Garnett
2008,5,Allen Iverson
2008,6,Dwayne Wade
2008,7,Paul Pierce
2008,8,Nate Robinson
2008,9,Pau Gasol
2008,10,Dwight Howard
2007,1,Kevin Garnett
2007,2,Kobe Bryant
2007,3,Allen Iverson
2007,4,LeBron James
2007,5,Steve Nash
2007,6,Dwayne Wade
2007,7,Gilbert Arenas
2007,8,Dirk Nowitzki
2007,9,Stephon Marbury
2007,10,Carmelo Anthony
2006,1,Kobe Bryant
2006,2,Dwayne Wade
2006,3,LeBron James
2006,4,Allen Iverson
2006,5,Steve Nash
2006,6,Carmelo Anthony
2006,7,Stephon Marbury
2006,8,Dirk Nowitzki
2006,9,Gilbert Arenas
2006,10,Vince Carter
2005,1,Dwayne Wade
2005,2,LeBron James
2005,3,Allen Iverson
2005,4,Kobe Bryant
2005,5,Stephon Marbury
2005,6,Shaquille O'Neal
2005,7,Tracy McGrady
2005,8,Carmelo Anthony
2005,9,Vince Carter
2005,10,Ben Wallace
2004,1,Shaquille O'Neal
2004,2,Tracy McGrady
2004,3,LeBron James
2004,4,Stephon Marbury
2004,5,Kobe Bryant
2004,6,Allen Iverson
2004,7,Carmelo Anthony
2004,8,Vince Carter
2004,9,Dwayne Wade
2004,10,Steve Francis
2003,1,LeBron James
2003,2,Carmelo Anthony
2003,3,Stephon Marbury
2003,4,
2003,5,
2003,6,
2003,7,Kobe Bryant
2003,8,Shaquille O'Neal
2003,9,
2003,10,
2002,1,Kobe Bryant
2002,2,Allen Iverson
2002,3,Tracy McGrady
2002,4,Michael Jordan
2002,5,Paul Pierce
2002,6,Jason Kidd
2002,7,Shaquille O'Neal
2002,8,Latrell Sprewell
2002,9,Dirk Nowitzki
2002,10,Michael Finley
